"PFAS","rho","p_value","n","FDR_p"
"FTSA8_2",-0.403755880870609,0.0560540222562993,23,0.213005284573937
"FOSA",-0.0152084900673046,0.933054728620482,33,0.984891102432731
"N_ETFOSAA",-0.650197628458498,0.000783277032193485,23,0.0148822636116762
"N_MEFOSAA",-0.470426854938024,0.104734144435481,13,0.284278392039162
"PFBA",-0.293244444935419,0.0923424696434499,34,0.284278392039162
"PFHPA",0.0857142857142857,0.871743440233236,6,0.984891102432731
"PFHPS",-0.34296435272045,0.0302728606667953,40,0.185153486316523
"PFDS",0.35422138836773,0.0249278639305317,40,0.185153486316523
"PFHXS",0.0874564459930314,0.586634091804051,41,0.978931617319313
"PFNS",0.030003474137298,0.868355158879902,33,0.984891102432731
"PFHXA",-0.504327137085344,0.0389796813297944,17,0.185153486316523
"PFDA",-0.0707317073170732,0.660336349279852,41,0.978931617319313
"PFDOA",-0.0686411149825784,0.669795317113214,41,0.978931617319313
"PFNA",0.0174216027874564,0.913907658088949,41,0.984891102432731
"PFOA",-0.176151082757572,0.326795392708522,33,0.77613905768274
"PFOS",-0.00165519644568342,0.991805340010076,41,0.991805340010076
"PFTEDA",0.0977394486749669,0.543225926123468,41,0.978931617319313
"PFTRDA",0.115156794425087,0.473404615568535,41,0.978931617319313
"PFUNDA",0.0346689895470383,0.82961972233362,41,0.984891102432731
