PFAS_1,PFAS_2,Correlation,p_value,Region,Group_1,Group_2,Significance
FTSA6_2,FTSA8_2,NA,NA,SSS,Precursor,Precursor,
FTSA6_2,FOSA,NA,NA,SSS,Precursor,Precursor,
FTSA6_2,N_ETFOSAA,NA,NA,SSS,Precursor,Precursor,
FTSA6_2,N_MEFOSAA,NA,NA,SSS,Precursor,Precursor,
FTSA6_2,PFBA,NA,NA,SSS,Precursor,Short-chain,
FTSA6_2,PFBS,NA,NA,SSS,Precursor,Short-chain,
FTSA6_2,PFHPA,NA,NA,SSS,Precursor,Short-chain,
FTSA6_2,PFHXA,NA,NA,SSS,Precursor,Legacy Acids,
FTSA6_2,PFOA,NA,NA,SSS,Precursor,Legacy Acids,
FTSA6_2,PFNA,NA,NA,SSS,Precursor,Legacy Acids,
FTSA6_2,PFDA,NA,NA,SSS,Precursor,Legacy Acids,
FTSA6_2,PFDOA,NA,NA,SSS,Precursor,Legacy Acids,
FTSA6_2,PFTRDA,NA,NA,SSS,Precursor,Legacy Acids,
FTSA6_2,PFTEDA,NA,NA,SSS,Precursor,Legacy Acids,
FTSA6_2,PFUNDA,NA,NA,SSS,Precursor,Legacy Sulfonates,
FTSA6_2,PFHXS,NA,NA,SSS,Precursor,Legacy Sulfonates,
FTSA6_2,PFOS,NA,NA,SSS,Precursor,Legacy Sulfonates,
FTSA6_2,PFPES,NA,NA,SSS,Precursor,Legacy Sulfonamides,
FTSA6_2,PFHPS,NA,NA,SSS,Precursor,Legacy Sulfonamides,
FTSA6_2,PFDS,NA,NA,SSS,Precursor,Legacy Sulfonamides,
FTSA8_2,FOSA,0.11,0.66,SSS,Precursor,Precursor,
FTSA8_2,N_ETFOSAA,NA,NA,SSS,Precursor,Precursor,
FTSA8_2,N_MEFOSAA,NA,NA,SSS,Precursor,Precursor,
FTSA8_2,PFBA,0.41,0.10,SSS,Precursor,Short-chain,
FTSA8_2,PFBS,NA,NA,SSS,Precursor,Short-chain,
FTSA8_2,PFHPA,0.61,0.01,SSS,Precursor,Short-chain,**
FTSA8_2,PFHXA,NA,NA,SSS,Precursor,Legacy Acids,
FTSA8_2,PFOA,-0.15,0.56,SSS,Precursor,Legacy Acids,
FTSA8_2,PFNA,-0.31,0.23,SSS,Precursor,Legacy Acids,
FTSA8_2,PFDA,-0.31,0.23,SSS,Precursor,Legacy Acids,
FTSA8_2,PFDOA,-0.20,0.43,SSS,Precursor,Legacy Acids,
FTSA8_2,PFTRDA,-0.31,0.23,SSS,Precursor,Legacy Acids,
FTSA8_2,PFTEDA,-0.05,0.85,SSS,Precursor,Legacy Acids,
FTSA8_2,PFUNDA,-0.31,0.23,SSS,Precursor,Legacy Sulfonates,
FTSA8_2,PFHXS,0.41,0.10,SSS,Precursor,Legacy Sulfonates,
FTSA8_2,PFOS,0.26,0.32,SSS,Precursor,Legacy Sulfonates,
FTSA8_2,PFPES,-0.06,0.81,SSS,Precursor,Legacy Sulfonamides,
FTSA8_2,PFHPS,0.41,0.10,SSS,Precursor,Legacy Sulfonamides,
FTSA8_2,PFDS,0.41,0.10,SSS,Precursor,Legacy Sulfonamides,
FOSA,N_ETFOSAA,NA,NA,SSS,Precursor,Precursor,
FOSA,N_MEFOSAA,NA,NA,SSS,Precursor,Precursor,
FOSA,PFBA,0.09,0.74,SSS,Precursor,Short-chain,
FOSA,PFBS,NA,NA,SSS,Precursor,Short-chain,
FOSA,PFHPA,0.11,0.67,SSS,Precursor,Short-chain,
FOSA,PFHXA,NA,NA,SSS,Precursor,Legacy Acids,
FOSA,PFOA,0.15,0.56,SSS,Precursor,Legacy Acids,
FOSA,PFNA,0.46,0.06,SSS,Precursor,Legacy Acids,.
FOSA,PFDA,0.44,0.08,SSS,Precursor,Legacy Acids,.
FOSA,PFDOA,0.53,0.03,SSS,Precursor,Legacy Acids,*
FOSA,PFTRDA,0.48,0.05,SSS,Precursor,Legacy Acids,*
FOSA,PFTEDA,0.51,0.04,SSS,Precursor,Legacy Acids,*
