bird_id,year,region,toxicant,value
DU81-001,2024,SSS,FTSA10_2,0
DU58-002,2024,SSS,FTSA10_2,0
DU58-001,2023,SSS,FTSA10_2,0
DU58-002,2023,SSS,FTSA10_2,0
BY32-001,2023,SSS,FTSA10_2,0
BY30-001,2024,SSS,FTSA10_2,0
BY47-001,2023,SSS,FTSA10_2,0
CR03-001,2025,LWR,FTSA10_2,NA
BY47-001-002,2024,SSS,FTSA10_2,0
CR09-001,2025,LWR,FTSA10_2,NA
CR09-002,2025,LWR,FTSA10_2,NA
CRNew-001,2025,LWR,FTSA10_2,NA
BY97-001,2023,SSS,FTSA10_2,0
BY97-002,2023,SSS,FTSA10_2,0
BY48-001,2024,SSS,FTSA10_2,0
BY100-001,2023,SSS,FTSA10_2,0
BY100-002,2023,SSS,FTSA10_2,0
BY100-003,2023,SSS,FTSA10_2,0
BY100-002,2024,SSS,FTSA10_2,0
AS28-001,2024,AIS,FTSA10_2,0
AS28-002,2024,AIS,FTSA10_2,0
AS28-003,2024,AIS,FTSA10_2,0
BY94-001,2023,SSS,FTSA10_2,0
BY94-002,2023,SSS,FTSA10_2,0
AS71-001,2024,AIS,FTSA10_2,0
AS71-002,2024,AIS,FTSA10_2,0
AS71-001,2023,AIS,FTSA10_2,0
AS108-002,2023,AIS,FTSA10_2,0
GRNew-001,2025,LWR,FTSA10_2,NA
GRNew-002,2025,LWR,FTSA10_2,NA
AS99-001,2024,AIS,FTSA10_2,0
AS99-002,2024,AIS,FTSA10_2,0
AS106-001,2023,AIS,FTSA10_2,0
AS106-002,2023,AIS,FTSA10_2,0
AS90-001,2024,AIS,FTSA10_2,0
AS90-002,2024,AIS,FTSA10_2,0
GR10-001,2025,LWR,FTSA10_2,NA
GR10-002,2025,LWR,FTSA10_2,NA
RI20-001,2025,LWR,FTSA10_2,NA
AS20-001,2023,AIS,FTSA10_2,0
AS20-002,2023,AIS,FTSA10_2,0
IO20-001,2025,LWR,FTSA10_2,NA
IO20-002,2025,LWR,FTSA10_2,NA
IO20-003,2025,LWR,FTSA10_2,NA
IO26-001,2025,LWR,FTSA10_2,NA
IO26-002,2025,LWR,FTSA10_2,NA
IO21-001,2025,LWR,FTSA10_2,NA
IO21-003,2025,LWR,FTSA10_2,NA
JU22-001,2025,MWR,FTSA10_2,NA
JU22-002,2025,MWR,FTSA10_2,NA
JU14-001,2025,MWR,FTSA10_2,NA
SK02-001,2025,LWR,FTSA10_2,NA
SK02-002,2025,LWR,FTSA10_2,NA
AD13-001,2025,MWR,FTSA10_2,NA
AD13-002,2025,MWR,FTSA10_2,NA
AD13-003,2025,MWR,FTSA10_2,NA
WO07-001,2025,MWR,FTSA10_2,NA
WO07-002,2025,MWR,FTSA10_2,NA
MR25-001,2025,MWR,FTSA10_2,NA
MR25-002,2025,MWR,FTSA10_2,NA
LI30-001,2025,MWR,FTSA10_2,NA
LI30-002,2025,MWR,FTSA10_2,NA
LI24-001,2025,MWR,FTSA10_2,NA
LI31-001,2025,MWR,FTSA10_2,NA
LI31-002,2025,MWR,FTSA10_2,NA
LI47-001,2025,MWR,FTSA10_2,NA
LI47-002,2025,MWR,FTSA10_2,NA
DA07-001,2025,LWR,FTSA10_2,NA
DA07-002,2025,LWR,FTSA10_2,NA
DA07-003,2025,LWR,FTSA10_2,NA
PT04-001,2025,MWR,FTSA10_2,NA
PT04-002,2025,MWR,FTSA10_2,NA
CO03-001,2025,MWR,FTSA10_2,NA
CO03-002,2025,MWR,FTSA10_2,NA
ON07-001,2025,UPWR,FTSA10_2,NA
ON138-001,2025,UPWR,FTSA10_2,NA
ON138-002,2025,UPWR,FTSA10_2,NA
ON31-001,2025,MWR,FTSA10_2,NA
ON31-002,2025,MWR,FTSA10_2,NA
WI09-001,2023,FRGB,FTSA10_2,0
WI09-002,2023,FRGB,FTSA10_2,0.087
OU06-001,2023,FRGB,FTSA10_2,0
OU13-001,2023,FRGB,FTSA10_2,0.152
BR17-001,2023,FRGB,FTSA10_2,0.262
BR17-002,2023,FRGB,FTSA10_2,0.287
BR09-001,2023,FRGB,FTSA10_2,0.186
BR09-002,2023,FRGB,FTSA10_2,0.247
BR12-001,2024,FRGB,FTSA10_2,0.197
BR12-001,2023,FRGB,FTSA10_2,0.265
BR11-001,2024,FRGB,FTSA10_2,0.228
BR11-002,2024,FRGB,FTSA10_2,0.24
BR15-001,2024,FRGB,FTSA10_2,0
BR15-003,2024,FRGB,FTSA10_2,0.194
BR19-001,2024,FRGB,FTSA10_2,0.187
SB7-002,2024,GBLM,FTSA10_2,0
MC14-001,2024,GBLM,FTSA10_2,0
MC14-002,2024,GBLM,FTSA10_2,0
MC17-001-002,2024,GBLM,FTSA10_2,0
DO29-001,2024,GBLM,FTSA10_2,0
DO29-002,2024,GBLM,FTSA10_2,0
MC03-002,2024,GBLM,FTSA10_2,0
MC06-001,2024,GBLM,FTSA10_2,0
MC06-002,2024,GBLM,FTSA10_2,0
KE02-001,2024,GBLM,FTSA10_2,0
KE08-001,2024,GBLM,FTSA10_2,0
KE08-002,2024,GBLM,FTSA10_2,0
DO05-001,2024,GBLM,FTSA10_2,0
DO05-002,2024,GBLM,FTSA10_2,0
DO18-001,2024,GBLM,FTSA10_2,0
DO18-002,2024,GBLM,FTSA10_2,0
DO16-001,2024,GBLM,FTSA10_2,0
DO16-002,2024,GBLM,FTSA10_2,0
DO16-003,2024,GBLM,FTSA10_2,0
WI10-001,2023,FRGB,FTSA10_2,0.084
WI10-002,2023,FRGB,FTSA10_2,0.101
DU81-001,2024,SSS,PF3OUDS11CL,0
DU58-002,2024,SSS,PF3OUDS11CL,0
DU58-001,2023,SSS,PF3OUDS11CL,0
DU58-002,2023,SSS,PF3OUDS11CL,0
BY32-001,2023,SSS,PF3OUDS11CL,0
BY30-001,2024,SSS,PF3OUDS11CL,0
