nest_no,nearest_water_ID,nearest_water_dist_m,nearest_water_dist_km,geometry,
DU-81,110459605110,406555.4744,406.5554744,c(359554.23813685, 698994.585874114)
DU-58a,110459605110,390705.8542,390.7058542,c(387142.244357263, 694402.227337559)
DU-58a,110459605110,390705.8542,390.7058542,c(387142.244357263, 694402.227337559)
DU-58a,110459605110,390705.8542,390.7058542,c(387142.244357263, 694402.227337559)
BY-032d,110459605110,388171.0367,388.1710367,c(414995.277823777, 702527.040698966)
BY-30,110459605110,389699.7135,389.6997135,c(436550.955249764, 710902.110886777)
BY-47b,110459605110,391114.2082,391.1142082,c(436962.486440116, 712486.856132196)
CR-03,110459605110,123788.0939,123.7880939,c(431321.827198118, 280971.672007398)
BY-47a,110459605110,391066.2056,391.0662056,c(437879.041398347, 712692.152266269)
CR-09a,110459605110,119365.7019,119.3657019,c(435756.391796774, 281990.780972466)
CR-09a,110459605110,119365.7019,119.3657019,c(435756.391796774, 281990.780972466)
GR-102b,110459605110,117691.8597,117.6918597,c(437136.073356355, 282972.424406999)
BY-97,110459605110,373880.8253,373.8808253,c(452950.450510324, 698872.119165966)
BY-97,110459605110,373880.8253,373.8808253,c(452950.450510324, 698872.119165966)
BY-48a,110459605110,366612.3637,366.6123637,c(454805.925880256, 691843.395711757)
BY-100a,110459605110,378988.1901,378.9881901,c(458453.151612624, 705421.190263612)
BY-100a,110459605110,378988.1901,378.9881901,c(458453.151612624, 705421.190263612)
BY-100a,110459605110,378988.1901,378.9881901,c(458453.151612624, 705421.190263612)
BY100a,110459605110,378988.1901,378.9881901,c(458453.151612624, 705421.190263612)
AS-28c,110459605110,368853.9193,368.8539193,c(459835.260646438, 695341.88734077)
AS-28c,110459605110,368853.9193,368.8539193,c(459835.260646438, 695341.88734077)
AS-28c,110459605110,368853.9193,368.8539193,c(459835.260646438, 695341.88734077)
BY-94,110459605110,383728.7657,383.7287657,c(461050.862885635, 710852.839924906)
BY-94,110459605110,383728.7657,383.7287657,c(461050.862885635, 710852.839924906)
AS-71a,110459605110,398765.7257,398.7657257,c(461419.149849054, 726301.459719922)
AS-71a,110459605110,398765.7257,398.7657257,c(461419.149849054, 726301.459719922)
AS-71a,110459605110,398765.7257,398.7657257,c(461419.149849054, 726301.459719922)
AS-108,110459605110,381358.828,381.358828,c(462202.091995479, 708676.730151191)
GR-91a,110459605110,91125.78888,91.12578888,c(460226.032941112, 296215.454220086)
GR-91a,110459605110,91125.78888,91.12578888,c(460226.032941112, 296215.454220086)
AS-99c,110459605110,382831.5829,382.8315829,c(464943.977859153, 710759.07083232)
AS-99c,110459605110,382831.5829,382.8315829,c(464943.977859153, 710759.07083232)
AS-106,110459605110,395654.7714,395.6547714,c(467944.350125439, 724429.345637504)
AS-106,110459605110,395654.7714,395.6547714,c(467944.350125439, 724429.345637504)
AS-90a,110459605110,392652.535,392.652535,c(469127.757752645, 721598.553799195)
