bird_id,DNA_sex,field_id,date,year,county,nest_no,fws,weight_kg,culman_mm,hallux_mm,bill_mm,primary_mm,foot_mm,Crop,Calculated,Calculated ,age,FTSA10_2,PF3OUDS11CL,FTSA4_2,DIPAP6_2,FTSA6_2,DIPAP8_2,FTSA8_2,CL_9PF3ONS,DONA,FOSA,N_ETFOSA,N_ETFOSAA,N_ETFOSE,N_MEFOSA,N_MEFOSAA,N_MEFOSE,PFBA,PFBS,PFDA,PFDOA,PFDS,PFHPA,PFHPS,PFHXA,PFHXDA,PFHXS,PFMBA,PFMPA,PFNA,PFNS,PFOA,PFODA,PFOS,PFPEA,PFPES,PFTEDA,PFTRDA,PFUNDA,PFEESA,PFDoS,ADONA,HFPO-DA,NFDHA,3:3FTCA,5:3FTCA,6:2FTS,7:3FTCA,TOTAL_PFAS
AS106-001,F,BAEA-AS106-2023-L-001,6/13/23,2023,ASHLAND,AS-106,0709-05617,3.76,46.8,38.5,33.3,160,145,0,-1.5504,42.3,42.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,0,37.3,7.93,0.55,0.07,0.939,0,0,0.977,0,0,97.9,0.094,2.75,0,123,0,0,2.13,12.5,49.1,,,,,,,,,,335.316
AS106-002,,BAEA-AS106-2023-L-002,6/13/23,2023,ASHLAND,AS-106,0709-05618,3.46,42.7,34.3,31.2,187,140,0,-3.8016,46.1,46.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,0,39.6,9.1,0.678,0.074,1.4,0,0,1.25,0,0,110,0.109,2.89,0,140,0,0,2.47,14.9,52.8,,,,,,,,,,375.376
AS108-002,,BAEA-AS108-2023-L-002,6/12/23,2023,ASHLAND,AS-108,0709-05614,3.37,53.1,34.3,33.3,200,125,0.25,-2.9784,47.9,47.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,5.2,0.537,0,0.697,0,0,0.52,0,0,40.7,0.083,0.787,0,79.2,0,0,1.53,9.97,22.7,,,,,,,,,,177.424
AS20-001,M,BAEA-AS20-2023-L-001,6/13/23,2023,ASHLAND,AS-20f,0709-05615,2.99,39.6,32.2,29.2,97,134,0,-5.2996,33.5,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0,34.3,8.79,1.29,0.063,1.88,0,0,1.74,0,0,90,0.142,2.56,0,176,0,0,2.43,13.5,49.2,,,,,,,,,,382.126
AS20-002,F,BAEA-AS20-2023-L-002,6/13/23,2023,ASHLAND,AS-20f,0709-05616,3.94,47,33.5,32.4,109,145,0.5,-3.6032,35.2,35.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,33.3,8.99,1.24,0.06,2.14,0,0,1.45,0,0,87.7,0.147,1.68,0,188,0,0,2.64,15.4,49.4,,,,,,,,,,392.327
AS28-001,M,BAEA-AS28-2024-E-001,6/14/24,2024,ASHLAND,AS-28c,0829-04159,3.63,46.7,35.7,30.7,279,125,0,-3.5216,59,59,0,0,0,0,0,0,0,0,0,0.089,0,0,0.064,0,0,0,0,0,13.1,4.14,0.573,0,0.743,0,0,0.785,0,0,42.2,0.044,0.788,0,86.9,0,0,0.902,8.07,20.1,,,,,,,,,,178.498
AS28-002,M,BAEA-AS28-2024-E-002,6/14/24,2024,ASHLAND,AS-28c,0829-04160,3.64,44.6,34.6,30.7,237,131,0,-3.8956,53.1,53.1,0,0,0,0,0,0,0,0,0,0.126,0,0,0,0,0,0,0.041,0,12.3,3.2,0.465,0,0.526,0,0,0.5,0,0,33,0.031,1.05,0,68.9,0,0,0.838,6.67,16.3,,,,,,,,,,143.947
AS28-003,F,BAEA-AS28-2024-E-003,6/14/24,2024,ASHLAND,AS-28c,0829-04167,4.52,34.9,37.7,30.2,281,141,0,-3.0376,59.2,59.2,0,0,0,0,0,0,0,0,0,0.128,0,0,0,0,0,0,0.058,0,14.8,4.42,0.665,0,0.721,0,0,0.733,0,0,43.6,0.05,0.689,0,79.5,0,0,1.02,10,21.6,,,,,,,,,,177.984
AS71-001,F,BAEA-AS71-2024-E-001,6/14/24,2024,ASHLAND,AS-71a,0829-04168,4.55,47.1,37.4,31.8,228,143,0,,51.8,51.8,0,0,0,0,0,0,0,0,0,0.092,0,0,0,0,0,0,0.232,0,60.8,19.1,1.27,0.229,1.35,0,0,1.44,0,0,145,0.124,2.57,0,175,0,0,3.1,32.9,93.7,,,,,,,,,,536.907
AS71-002,M,BAEA-AS71-2024-E-002,6/14/24,2024,ASHLAND,AS-71a,0829-04169,3.35,41.6,32,28.8,200,127,0,,47.9,47.9,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,0,0,0.247,0.093,61,18.1,1.24,0.334,1.33,0,0,1.46,0,0,149,0.12,5.8,0,171,0,0,3.49,34.1,97.3,,,,,,,,,,544.701
