NAME,TOTAL_PFAS,PFUNDA,PFTRDA,PFTEDA,PFOS,PFOA,PFNS,PFNA,PFHXS,PFHPS,PFHPA,PFDS,PFDOA,PFDA,PFBA,N_MEFOSAA,N_ETFOSAA,FOSA,FTSA10_2,FTSA8_2,5:3FTCA,7:3FTCA,8:2FTS,PFHxA
Ashland,330.7332,46.64,16.60733333,1.988,126.92,4.4122,0.091666667,89.37333333,1.2386,1.230666667,0.224,0.8368,8.706,32.27333333,0.1174,0,0,0,0,0.924,,,,
Bayfield,253.6256154,33.14615385,11.17153846,1.542153846,112.8538462,1.039769231,0.095846154,61.03230769,0.886923077,1.012230769,0.006615385,0.715153846,5.909230769,24.09538462,0.087692308,0,0,0,0,0.344,,,,
Brown,199.7916364,11.16272727,3.666363636,1.531818182,154.5909091,0.246,0.167909091,3.779090909,1.202181818,0.977454545,0,1.183,6.427272727,11.76636364,0.095,0.418,0.901636364,9.829,2.293,6.165,,,,
Door,253.322,15.55111111,8.518888889,1.392333333,187.8888889,0.404777778,0.101555556,11.77444444,1.43,1.268444444,0,0.902,6.187777778,17,0,0.081444444,0.183777778,1.689,0,4.04,,,,
Douglas,339.57025,43.675,14.5,2.3,153.5,0.5535,0.15475,78.475,2.469,1.66425,0.014,1.71575,7.455,32.725,0.258,0,0,0.116,0,0.313,,,,
Kewaunee,187.3793333,5.783333333,3.44,0.703666667,154.6666667,0.550333333,0.029,8.11,0.846666667,1.583333333,0,0.48,2.416666667,8.59,0.179666667,0,0,0,0,0,,,,
Manitowoc,219.3821667,9.855,6.195,1.352333333,169.6666667,0.755333333,0.074166667,10.49166667,1.5395,1.673333333,0,1.01,3.71,12.95166667,0.038833333,0,0,0,0,0.412,,,,
Outgamie,163.6645,3.475,1.2775,0.579,144.5,0.149,0.119,3.8,0.914,0.989,0,0.84,1.56,5.055,0.089,0,0.1605,0.163,0.152,0,,,,
Sheboygan,259.517,5.2,3.8,0.607,231,0.602,0.068,5.95,1.42,1.21,0,0.982,1.95,6.64,0,0,0,0,0,0.088,,,,
Winnebago,145.54325,6.07,1.6225,0.623,117,0.1075,0.08275,5.9425,0.938,0.61725,0,0.8135,2.0125,8.8975,0,0,0.64,0,0.272,0.433,,,,
Adams,527.573,9.739,5.996666667,3.348333333,445.07,0.528333333,0.497666667,4.948666667,0.677333333,3.247333333,0,1.518,8.241666667,12.60833333,0.167,0.678,6.005666667,6.083666667,,,6.827333333,3.261666667,8.106,0.022333333
Columbia,299.757,8.621,3.809,1.477,257.175,0,0.367,2.0195,0.295,0.806,0,0.4705,7.2275,8.4415,0.066,0.204,1.6765,2.726,,,0.624,0.8175,2.917,0.017
Crawford,168.83575,3.51675,1.47875,0.64125,149.0275,0.07525,0,2.19325,0.6125,0.6455,0,1.744,2.28475,3.83225,0.07425,0,0.4795,0.928,,,0.3715,0,0.91975,0.011
Dane,58.087,3.648,0.998666667,0.297333333,42.28566667,0,0,3.895,0.147,0.092,0,0.231666667,0.976,4.078,0.074333333,0,0.121333333,0.715,,,0.067666667,0,0.459333333,0
Grant,216.3575,5.1495,1.90925,0.77375,189.45,0,0.0725,2.07575,0.36725,0.6955,0,1.465,2.99675,5.96325,0.05775,0,0.6195,1.706,,,0.5635,0.39375,2.07825,0.02025
Iowa,293.0441429,5.95914286,2.034857143,0.938714286,259.3214286,0.286285714,0.086285714,2.994428571,0.663571429,1.089,0,2.119428571,3.665571429,7.388142857,0.120142857,0.038428571,1.121428571,1.997428571,,,0.532,0.707857143,1.954714286,0.025285714
Juneau,430.2576667,10.2546667,7.745,4.646666667,352.0566667,0.076666667,0.418666667,4.580666667,0.318,1.328333333,0,1.592333333,9.933,12.669,0.113666667,0.732,5.804666667,5.716,,,4.53,3.370666667,4.344,0.027
Lincoln,439.5717143,8.76842857,6.414,3.882428571,348.9471429,1.558857143,0.521571429,4.393428571,0.423285714,1.950714286,0,1.043833333,13.62614286,7.006714286,0.117428571,0.143285714,7.152571429,10.67442857,,,2.376428571,4.336714286,16.18114286,0.022571429
Marathon,146.5345,8.535,3.593,0.8015,108.166,0,0,12.7665,0.249,0.789,0,0.7205,2.251,8.2525,0.054,0,0,0.2135,,,0,0,0.084,0.0225
Oneida,212.1098,4.1152,0.984,0.2636,176.7488,5.4072,0,5.4222,0.6936,3.5028,0.1672,0.429,1.5172,5.613,0.1202,0,0.372,0.7496,,,4.3782,0.374,1.2222,0.0236
Portage,346.978,7.226,3.652,1.9815,297.96,0.11,0.16,3.354,0.2775,1.455,0,0.7995,7.065,8.6595,0.1,0.12,2.108,3.971,,,1.6705,0.875,5.4235,0.01
Richland,132.48,2.586,0.943,0.39,116.08,0.333,0,1.467,0.3,0.395,0,0.777,1.643,3.235,0.082,0.24,0.549,1.171,,,1.193,0,1.074,0.022
Sauk,202.7795,5.0715,2.1445,1.0175,174.495,0.2415,0,2.21,0.298,0.6235,0,2.2245,3.7385,5.7855,0.076,0.085,0.7475,1.7735,,,0.315,0.5265,1.3895,0.0165
Wood,475.9625,10.9485,4.3785,2.219,411.055,0.3425,0.5625,3.266,0.2795,1.513,0,1.1705,9.4065,12.594,0.0965,0,1.7635,4.5465,,,1.752,1.631,8.414,0.0235
