County,Region,sample_size,FTSA10_2,FTSA8_2,FOSA,N_ETFOSAA,N_MEFOSAA,PFBA,PFDA,PFDOA,PFDS,PFHPA,PFHPS,PFHXA,PFHXS,PFNA,PFNS,PFOA,PFOS,PFTEDA,PFTRDA,PFUNDA,5:3FTCA,7:3FTCA,TOTAL_PFAS
Adams,MWR,3,,8.106 (6.406â9.535),6.084 (4.562â6.913),6.006 (5.624â6.611),0.678 (0.49â0.818),0.167 (0.165â0.169),12.608 (10.087â14.037),8.242 (6.91â9.025),1.518 (1.194â1.865),0 (0â0),3.247 (2.434â3.694),0.022 (0.02â0.026),0.677 (0.536â0.752),4.949 (4.02â5.679),0.498 (0.372â0.564),0.528 (0.416â0.71),445.07 (355.83â502.62),3.348 (2.687â3.745),5.997 (5.108â6.674),9.739 (7.998â10.715),6.827 (5.789â8.882),3.262 (2.931â3.514),527.573 (423.99â594.044)
Ashland,AIS,14,"0 (0,0)","0 (0,0)",0.062 (0â0.128),0 (0â0),0 (0â0),0.117 (0â0.247),32.273 (12.3â61),8.706 (3.2â19.1),0.837 (0.412â1.32),0.224 (0â1.56),1.231 (0.526â2.14),0 (0â0),1.239 (0.5â2.58),89.373 (33â149),0.092 (0â0.147),4.412 (0.639â29.3),126.92 (68.9â188),1.988 (0.838â3.49),16.607 (6.67â34.1),46.64 (16.3â97.3),,,330.733 (143.947â544.701)
Bayfield,SSS,12,"0 (0,0)","0 (0,0)",0.026 (0â0.131),0 (0â0),0 (0â0),0.088 (0â0.173),24.095 (4.81â54.7),5.909 (1.52â15.6),0.715 (0.358â1.24),0.007 (0â0.051),1.012 (0.483â1.57),0 (0â0),0.887 (0.327â1.58),61.032 (9.72â145),0.096 (0.018â0.174),1.04 (0.197â1.98),112.854 (42.5â179),1.542 (0.649â2.51),11.172 (3.26â23.1),33.146 (5.66â76.1),,,253.626 (70.043â501.924)
Brown,FRGB,10,0.208 (0â0.287),0.894 (0â1.53),0.56 (0.289â0.952),0.902 (0â1.57),0.418 (0.157â0.675),0.095 (0â0.248),11.766 (7.64â16.9),6.427 (3.24â10.7),1.183 (0.51â1.61),0 (0â0),0.977 (0.494â1.4),0 (0â0),1.202 (0.181â3.44),3.779 (1.4â6.9),0.168 (0.083â0.304),0.246 (0.108â0.686),154.591 (92.5â206),1.532 (1.02â1.93),3.666 (1.88â6.76),11.163 (6.75â16.4),,,199.792 (122.023â268.729)
Columbia,MWR,2,,2.917 (2.825â3.009),2.726 (2.717â2.735),1.676 (1.49â1.863),0.204 (0.183â0.225),0.066 (0.061â0.071),8.441 (8.276â8.607),7.228 (7.099â7.356),0.471 (0.462â0.479),0 (0â0),0.806 (0.725â0.887),0.017 (0.016â0.018),0.295 (0.29â0.3),2.019 (1.753â2.286),0.367 (0.362â0.372),0 (0â0),257.175 (255.46â258.89),1.477 (1.454â1.5),3.809 (3.762â3.856),8.621 (8.37â8.872),0.624 (0.517â0.731),0.818 (0.807â0.828),299.757 (297.124â302.39)
Crawford,LWR,4,,0.92 (0.595â1.094),0.928 (0.639â1.136),0.48 (0.292â0.847),0 (0â0),0.074 (0.049â0.099),3.832 (2.92â4.834),2.285 (1.648â2.83),1.744 (0.299â3.648),0 (0â0),0.645 (0.367â0.937),0.011 (0â0.028),0.613 (0.34â0.876),2.193 (0.888â3.387),0 (0â0),0.075 (0â0.301),149.028 (119.96â180.96),0.641 (0.394â0.864),1.479 (0.94â1.961),3.517 (2.744â4.448),0.372 (0.178â0.508),0 (0â0),168.836 (134.526â207.569)
Dane,LWR,3,,0.459 (0.42â0.532),0.715 (0.576â0.85),0.121 (0â0.196),0 (0â0),0.074 (0.071â0.077),4.078 (3.162â4.627),0.976 (0.728â1.186),0.232 (0.167â0.283),0 (0â0),0.092 (0â0.276),0 (0â0),0.147 (0.132â0.16),3.895 (3.329â4.514),0 (0â0),0 (0â0),42.286 (34.037â48.544),0.297 (0.259â0.327),0.999 (0.762â1.133),3.648 (2.869â4.052),0.068 (0â0.203),0 (0â0),58.087 (46.522â66.471)
Door,GBLM,9,"0 (0,0)",0.188 (0â0.609),0.449 (0â0.95),0.184 (0â0.958),0.081 (0â0.384),0 (0â0),17 (10.4â29.3),6.188 (3.57â11.2),0.902 (0.654â1.16),0 (0â0),1.268 (0.888â1.92),0 (0â0),1.43 (0.712â2.45),11.774 (3.06â27.3),0.102 (0.059â0.126),0.405 (0.093â1.27),187.889 (135â256),1.392 (0.891â2.22),8.519 (5.02â17.9),15.551 (9.24â26.3),,,253.322 (176.62â368.44)
Douglas,SSS,3,"0 (0,0)",0.029 (0â0.116),0.078 (0â0.136),0 (0â0),0 (0â0),0.258 (0â0.853),32.725 (13.1â47.8),7.455 (4.02â10),1.716 (0.933â2.42),0.014 (0â0.056),1.664 (0.897â2.53),0 (0â0),2.469 (0.926â6.37),78.475 (29.6â120),0.155 (0.108â0.176),0.553 (0.364â0.799),153.5 (123â183),2.3 (1.7â2.88),14.5 (6.2â22.2),43.675 (15â62.9),,,339.57 (237.558â448.438)
Grant,LWR,4,,2.078 (1.837â2.491),1.706 (1.435â1.938),0.619 (0.478â0.76),0 (0â0),0.058 (0.037â0.08),5.963 (5.397â6.488),2.997 (2.793â3.246),1.465 (0.488â2.606),0 (0â0),0.696 (0.574â0.799),0.02 (0.015â0.027),0.367 (0.321â0.405),2.076 (1.851â2.308),0.072 (0â0.29),0 (0â0),189.45 (166.6â220.79),0.774 (0.73â0.814),1.909 (1.697â2.213),5.149 (4.717â5.547),0.564 (0.187â0.924),0.394 (0â0.566),216.357 (191.128â249.174)
Iowa,LWR,7,,1.955 (1.519â2.483),1.997 (1.526â2.636),1.121 (0.825â1.692),0.038 (0â0.148),0.12 (0.049â0.21),7.388 (6.152â8.676),3.666 (3.277â4.228),2.119 (0.551â4.217),0 (0â0),1.089 (0.843â1.368),0.025 (0â0.043),0.664 (0.412â1.008),2.994 (2.84â3.165),0.086 (0â0.309),0.286 (0â0.568),259.321 (229.22â283.31),0.939 (0.76â1.133),2.035 (1.756â2.307),5.959 (4.888â7.141),0.532 (0.408â0.777),0.708 (0.572â0.808),293.044 (262.604â313.141)
Juneau,MWR,3,,4.344 (3.736â4.79),5.716 (5.573â5.898),5.805 (5.564â6.044),0.732 (0.708â0.754),0.114 (0.097â0.139),12.669 (11.286â13.445),9.933 (8.657â10.61),1.592 (1.484â1.659),0 (0â0),1.328 (1.177â1.586),0.027 (0.017â0.032),0.318 (0.257â0.35),4.581 (3.901â5.401),0.419 (0.336â0.468),0.077 (0â0.23),352.057 (289.73â408.55),4.647 (3.888â5.181),7.745 (6.814â8.46),10.255 (9.187â10.98),4.53 (3.221â6.387),3.371 (2.422â3.866),430.258 (361.721â488.741)
Kewaunee,GBLM,3,"0 (0,0)",0 (0â0),0 (0â0),0 (0â0),0 (0â0),0.18 (0.123â0.216),8.59 (8.25â8.92),2.417 (2.37â2.45),0.48 (0.224â0.804),0 (0â0),1.583 (1.14â1.87),0 (0â0),0.847 (0.778â0.882),8.11 (7.79â8.29),0.029 (0â0.087),0.55 (0.442â0.656),154.667 (116â180),0.704 (0.627â0.746),3.44 (2.33â5.18),5.783 (5.08â6.22),,,187.379 (145.928â212.902)
Lincoln,MWR,7,,16.181 (8.726â31.616),10.674 (7.731â13.388),7.153 (3.503â15.505),0.143 (0â0.426),0.117 (0.066â0.184),7.007 (4.462â11.234),13.626 (10.397â16.91),1.044 (0.152â1.915),0 (0â0),1.951 (1.061â2.793),0.023 (0â0.036),0.423 (0.219â0.705),4.393 (2.421â8.346),0.522 (0â0.757),1.559 (0.516â2.107),348.947 (203.36â442.81),3.882 (2.547â5.803),6.414 (4.961â8.528),8.768 (5.992â13.76),2.376 (0.303â5.886),4.337 (0.832â10.233),439.629 (267.498â539.718)
Manitowoc,GBLM,6,"0 (0,0)","0 (0,0)",0.069 (0â0.215),0 (0â0),0 (0â0),0.039 (0â0.143),12.952 (6.52â21.8),3.71 (2.11â5.3),1.01 (0.721â1.44),0 (0â0),1.673 (1.09â2.19),0 (0â0),1.539 (0.917â1.95),10.492 (7.79â16.9),0.074 (0.044â0.102),0.755 (0.243â1.49),169.667 (128â235),1.352 (0.714â1.71),6.195 (3.63â8.63),9.855 (5.58â17.5),,,219.382 (162.01â304.229)
Marathon,MWR,2,,0.084 (0â0.168),0.214 (0.207â0.22),0 (0â0),0 (0â0),0.054 (0.05â0.058),8.253 (6.746â9.759),2.251 (1.878â2.624),0.72 (0.696â0.745),0 (0â0),0.789 (0.677â0.901),0.022 (0.022â0.023),0.249 (0.222â0.276),12.767 (10.064â15.469),0 (0â0),0 (0â0),108.166 (94.702â121.63),0.801 (0.736â0.867),3.593 (3.098â4.088),8.535 (7.241â9.829),0 (0â0),0 (0â0),146.534 (126.368â166.701)
Oneida,UPWR,5,,1.222 (0â3.105),0.75 (0.236â1.681),0.372 (0â1.287),0 (0â0),0.12 (0â0.287),5.613 (1.773â12.276),1.517 (0.597â3.148),0.429 (0.12â0.872),0.167 (0â0.596),3.503 (0â9.992),0.024 (0.015â0.039),0.694 (0.104â1.744),5.422 (0.731â13.993),0 (0â0),5.407 (0â13.595),176.749 (11.988â491.64),0.264 (0â0.61),0.984 (0.549â1.684),4.115 (2.063â7.792),4.378 (0â13.746),0.374 (0â1.029),212.11 (19.395â576.017)
Outgamie,FRGB,2,0.076 (0â0.152),0.082 (0â0.163),0 (0â0),0.16 (0â0.321),0 (0â0),0.089 (0â0.178),5.055 (4.68â5.43),1.56 (1.17â1.95),0.84 (0.6â1.08),0 (0â0),0.989 (0.698â1.28),0 (0â0),0.914 (0.488â1.34),3.8 (3.46â4.14),0.119 (0.102â0.136),0.149 (0.083â0.215),144.5 (123â166),0.579 (0.355â0.803),1.278 (0.975â1.58),3.475 (3.15â3.8),,,163.665 (139.082â188.247)
Portage,MWR,2,,5.424 (5.322â5.525),3.971 (3.848â4.094),2.108 (1.838â2.378),0.12 (0.12â0.12),0.1 (0.097â0.103),8.659 (8.311â9.008),7.065 (6.936â7.194),0.799 (0.749â0.85),0 (0â0),1.455 (1.411â1.499),0.01 (0â0.02),0.277 (0.253â0.302),3.354 (3.256â3.452),0.16 (0â0.32),0.11 (0â0.22),297.96 (275.87â320.05),1.982 (1.958â2.005),3.652 (3.638â3.666),7.226 (7â7.452),1.671 (1.426â1.915),0.875 (0.757â0.993),346.978 (324.994â368.962)
Richland,LWR,1,,1.074 (1.074â1.074),1.171 (1.171â1.171),0.549 (0.549â0.549),0.24 (0.24â0.24),0.082 (0.082â0.082),3.235 (3.235â3.235),1.643 (1.643â1.643),0.777 (0.777â0.777),0 (0â0),0.395 (0.395â0.395),0.022 (0.022â0.022),0.3 (0.3â0.3),1.467 (1.467â1.467),0 (0â0),0.333 (0.333â0.333),116.08 (116.08â116.08),0.39 (0.39â0.39),0.943 (0.943â0.943),2.586 (2.586â2.586),1.193 (1.193â1.193),0 (0â0),132.48 (132.48â132.48)
Sauk,LWR,2,,1.39 (1.37â1.409),1.774 (1.57â1.977),0.748 (0.525â0.97),0.085 (0â0.17),0.076 (0.072â0.08),5.786 (5.024â6.547),3.739 (3.146â4.331),2.224 (2.087â2.362),0 (0â0),0.623 (0.524â0.723),0.016 (0â0.033),0.298 (0.287â0.309),2.21 (1.91â2.51),0 (0â0),0.242 (0.239â0.244),174.495 (152.18â196.81),1.018 (0.836â1.199),2.144 (1.85â2.439),5.072 (4.435â5.708),0.315 (0.248â0.382),0.526 (0.492â0.561),202.779 (176.956â228.603)
Sheboygan,GBLM,1,"0 (0,0)","0 (0,0)",0.088 (0.088â0.088),0 (0â0),0 (0â0),0 (0â0),6.64 (6.64â6.64),1.95 (1.95â1.95),0.982 (0.982â0.982),0 (0â0),1.21 (1.21â1.21),0 (0â0),1.42 (1.42â1.42),5.95 (5.95â5.95),0.068 (0.068â0.068),0.602 (0.602â0.602),231 (231â231),0.607 (0.607â0.607),3.8 (3.8â3.8),5.2 (5.2â5.2),,,259.517 (259.517â259.517)
Winnebago,FRGB,4,0.068 (0â0.101),"0 (0,0)",0.108 (0.077â0.138),0.64 (0.44â0.81),0 (0â0),0 (0â0),8.898 (8.3â9.69),2.013 (1.57â2.76),0.814 (0.645â0.948),0 (0â0),0.617 (0.27â1.01),0 (0â0),0.938 (0.356â1.4),5.942 (2.03â9.39),0.083 (0.067â0.093),0.108 (0â0.243),117 (109â123),0.623 (0.383â1.06),1.622 (1.28â1.95),6.07 (5.24â6.82),,,145.543 (129.969â151.715)
Wood,MWR,2,,8.414 (8.177â8.651),4.546 (4.401â4.692),1.764 (1.667â1.86),0 (0â0),0.096 (0.092â0.101),12.594 (11.754â13.434),9.407 (9.019â9.794),1.171 (1.116â1.225),0 (0â0),1.513 (1.461â1.565),0.024 (0.022â0.025),0.279 (0.259â0.3),3.266 (2.847â3.685),0.562 (0.491â0.634),0.342 (0.29â0.395),411.055 (405.31â416.8),2.219 (2.056â2.382),4.378 (4.1â4.657),10.948 (10.399â11.498),1.752 (1.685â1.819),1.631 (1.329â1.933),475.962 (466.487â485.438)
