"region","PFAS","rho","p_value","p_adj","n","signif"
"AIS","6:2 FTS",NA,NA,NA,15,NA
"AIS","8:2 FTS",NA,NA,NA,15,NA
"AIS","FOSA",0.0447446701377398,0.874189548382436,0.888248953537116,15,"ns"
"AIS","NEtFOSAA",NA,NA,NA,15,NA
"AIS","NMeFOSAA",NA,NA,NA,15,NA
"AIS","PFBA",0.149595034325116,0.594638937143157,0.888248953537116,15,"ns"
"AIS","PFBS",0.0625325775367444,0.82478701378281,0.888248953537116,15,"ns"
"AIS","PFHPA",-0.125003379246023,0.657126922980807,0.888248953537116,15,"ns"
"AIS","PFHxA",NA,NA,NA,15,NA
"AIS","PFOA",-0.0649857608531289,0.818017353732613,0.888248953537116,15,"ns"
"AIS","PFNA",-0.11011476144558,0.696044169430218,0.888248953537116,15,"ns"
"AIS","PFDA",-0.127377562454878,0.650992993325834,0.888248953537116,15,"ns"
"AIS","PFDoA",-0.068596080900525,0.808076314998549,0.888248953537116,15,"ns"
"AIS","PFTriA",-0.129971521706258,0.644314933231123,0.888248953537116,15,"ns"
"AIS","PFTeA",0.129971521706258,0.644314933231122,0.888248953537116,15,"ns"
"AIS","PFUnA",-0.088531922840979,0.753708915375213,0.888248953537116,15,"ns"
"AIS","PFHxS",0.0397135205213566,0.888248953537116,0.888248953537116,15,"ns"
"AIS","PFOS",0.354127691363916,0.195319500791171,0.888248953537116,15,"ns"
"AIS","PFPeS",-0.218864021378605,0.433220734294318,0.888248953537116,15,"ns"
"AIS","PFHPS",0.117440305809462,0.676801066328734,0.888248953537116,15,"ns"
"AIS","PFDS",0.438142679366069,0.102355977054544,0.888248953537116,15,"ns"
"FRGB","6:2 FTS",NA,NA,NA,17,NA
"FRGB","8:2 FTS",0.531528964641608,0.0281046341499059,0.449674146398495,17,"ns"
"FRGB","FOSA",-0.0123229173805963,0.962561068842158,0.962561068842158,17,"ns"
"FRGB","NEtFOSAA",0.0240149422268327,0.927105991673223,0.962561068842158,17,"ns"
"FRGB","NMeFOSAA",0.369868675987297,0.14394321326352,0.962561068842158,17,"ns"
"FRGB","PFBA",-0.230421283798776,0.373602770902135,0.962561068842158,17,"ns"
"FRGB","PFBS",NA,NA,NA,17,NA
"FRGB","PFHPA",NA,NA,NA,17,NA
